amenity,addr:city,addr:street,brand,brand:wikidata,brand:wikipedia,name,official_name,operator,addr:country,addr:housenumber,check_date,opening_hours,operator:wikidata,operator:wikipedia,atm,addr:postcode,website,healthcare,phone,dispensing,access,barrier,wheelchair,cuisine,outdoor_seating,location,recycling_type,highway,fee,layer,parking,drive_through,alt_name,automated,self_service,contact:phone,contact:website,operator:short,short_name,email,old_name,check_date:opening_hours,toilets:wheelchair,description,payment:cash,payment:credit_cards,payment:cryptocurrencies,payment:debit_cards,payment:electronic_purses,indoor_seating,takeaway,internet_access,internet_access:fee,name:zh,ref:vatin,survey:date,source,payment:american_express,payment:coins,payment:mastercard,payment:notes,payment:visa,emergency,delivery,highchair,indoor,payment:telephone_cards,charge,branch,capacity,maxheight,recycling:cans,recycling:glass,recycling:paper,recycling:waste,covered,bicycle_rental,rental,shop,contact:email,contact:fax,start_date,wifi,booth,colour,bus,public_transport,bicycle_parking,official_name:en,official_name:es,contact:facebook,name:pt,compressed_air,fee:amount,lit,supervised,bench,bin,shelter,tactile_paving,taxi,entrance,direction,material,note,support,tourism,addr:housename,fixme,operator:type,floor,name:tr,diet:vegetarian,reservation,denomination,heritage:website:sipa,ref:ipa,religion,addr:floor,level,smoking,name:en,backrest,fax,wikidata,wikimedia_commons,wikipedia,foot,grades,ref:aeep,recycling:glass_bottles,recycling:plastic,surface,smoothness,natural,mapillary,bicycle,vehicle,cash_in,network,healthcare:speciality,artist_name,artwork_type,historic,outdoor,ownership,visibility,name:ru,bottle,fountain,contact:twitter,office,fast_food,lgbtq,seats,brewery,diet:vegan,closed,addr:door,recycling:clothes,unisex,changing_table,male,owner,man_made,authentication:membership_card,authentication:none,maxstay,motorcar,parking:fee,payment:app,payment:cards,payment:membership_card,ref,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,old_operator,old_ref,real_ale,recycling:plastic_packaging,air_conditioning,television,toilets,wheelchair:description,name:fr,name:es,addr:flats,addr:unit,type,waste,recycling:cardboard,recycling:plastic_bottles,nif:pt,addr:place,description:en,ele,ele:note,contact:instagram,diet:lactose_free,recycling:metal,bar,recycling:batteries,disused,operator:ref,ref:qzp,school,source:opening_hours,min_age,craft,diet:gluten_free,contact:mobile,recycling:beverage_cartons,diet:healthy,nif,brunch,building,ice_cream,source:addr,female,toilets:disposal,toilets:position,check_date:wheelchair,socket:chademo,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,socket:type2_combo,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage,opening_hours:covid19,recycling:cooking_oil,internet_access:ssid,recycling:aluminium,recycling:cartons,recycling:newspaper,hot_water,toilets:access,microbrewery,facebook,inscription,social_facility,social_facility:for,recycling:green_waste,check_date:currency:XBT,currency:XBT,payment:lightning,payment:onchain,payment,recycling:food_waste,recycling:scrap_metal,socket:tesla_destination,socket:tesla_destination:output,no:network,name:de,recycling:shoes,recycling:magazines,recycling:organic,recycling:paper_packaging,recycling:PET,recycling:organic_waste,currency:EUR,preschool,recycling:electrical_items,surveillance,recycling:toys,mobile,cash_out,cash_withdrawal,opening_hours:kitchen,community_centre:for,fuel:cng,not:brand:wikidata,recycling:books,diet:keto,cargo,ferry,bread,pastry,recycling:plastic_bags,brand:website,diet:meat,recycling:glass_jars,recycling:tetrapak,video,authentication:app,diet:halal,capacity:disabled,all_you_can_eat,recycling:small_electrical_appliances,fixme:type,source:contact,townhall:type,building:colour,building:levels,building:material,nodes,faculty,int_name,name:ko,nohousenumber,park_ride,addr,source:geometry,fuel:HGV_diesel,fuel:diesel,fuel:octane_95,fuel:octane_98,landuse,roof:levels,shelter_type,architect,fence_type,heritage,heritage:operator,protection_title,heritage:ref,heritage:since,image,roof:shape,network:wikidata,alt_name:en,checkpoint,checkpoint:type,course,name:it,photography,photography:inside,photography:outside,service_times,name:zh-Hans,name:zh-Hant,building:part,heritage:website,ref:dgpc,site_status,source:ref,orientation,abandoned,ruins,loc_name,height,roof:colour,website:pt,area,photography:note,photography:note:en,military,community,community:gender,community:pt,related_law,architect:wikidata,sett:shape,parking:orientation,label,school:boarding,fuel:adblue,payment:maestro,payment:visa_debit,payment:visa_electron,property,stars,addr:suburb,roof:material,roof:orientation,fuel:lpg,parking_space,community_centre,patron_saint,event_annual,place,building:min_level,theatre:type,recycling:oils,hgv,payment:contactless,polling_station,polling_station:ref,polling_station:zone,not:operator:wikidata,duration,car_wash,theatre:genre,intermittent,museum,not:name,full_name,isced:level,ways,alt_name:es,building:wikidata,building:wikipedia,noaddress,latitude,longitude
restaurant,,,,,,Al Forno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.166263,-8.5932339
restaurant,Porto,Rua de Costa Cabral,,,,Cidade,,,,524,,,,,,4200-211,https://chcidadeporto.comportugal.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1656169,-8.5982894
bank,,,Santander Totta,Q4854116,pt:Banco Santander Portugal,Santander Totta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1728573,-8.6127532
pharmacy,,,,,,Farmácia Nau Vitória,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1742172,-8.5821356
cafe,,Rua de Costa Cabral,,,,Confeitaria Doce Alto,,,,2190,,"Mo-Fr 07:00-21:00; Sa,Su 08:00-20:00",,,,4200-218,https://docealto.pt/,,+351 225 402 153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1749994,-8.5860532
taxi,,,,,,Praça de Táxis do Conde de Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1696,-8.5892554
pharmacy,,Rua Serpa Pinto,,,,Farmácia Barreiros,,,,12,,24/7,,,,,,pharmacy,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1606206,-8.6210246
pharmacy,,,,,,Farmácia Pinhais da Foz,,,,,,,,,,,,pharmacy,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1555613,-8.6681147
telephone,,,,,,,,,,,2021-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1573155,-8.6666748
restaurant,,,,,,Cepa,,,,,,,,,,,,,,,,,,international,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1514604,-8.6765313
post_office,,,,,,CTT,,CTT,,,,,Q1024518,"en:CTT Correios de Portugal, S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.171145,-8.5882439
